	brenneri	briggsae	doughertyi	elegans	inopinata	latens	nigoni	remanei	sinica	sp26	sp40	tropicalis	wallacei
OG0011474	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011475	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011476	1	1	1	1	1	1	1	1	1	0	1	1	1
OG0011477	2	1	0	0	0	0	5	0	3	1	0	0	0
OG0011478	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011479	8	0	4	0	0	0	0	0	0	0	0	0	0
OG0011480	2	0	0	1	1	1	1	1	1	1	2	1	0
OG0011481	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011482	6	0	4	0	0	0	0	1	0	0	0	0	1
OG0011483	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011484	2	1	1	1	1	1	0	1	1	1	0	1	1
OG0011485	1	1	1	1	1	1	0	1	1	1	1	1	1
OG0011486	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011487	2	1	0	1	1	1	1	1	1	1	1	0	1
OG0011488	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011489	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011490	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011491	2	1	1	1	0	1	1	1	1	1	1	1	0
OG0011492	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011493	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011494	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011495	2	1	1	1	1	1	1	1	0	1	1	0	1
OG0011496	2	1	1	1	1	0	1	1	1	1	0	1	1
OG0011497	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011498	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011499	2	1	0	2	3	2	0	2	0	0	0	0	0
OG0011500	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011501	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011502	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011503	2	1	1	0	0	1	1	1	1	1	1	1	1
OG0011504	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011505	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011506	2	1	1	1	1	1	1	1	1	0	0	1	1
OG0011507	1	2	1	1	1	1	1	1	0	1	0	1	1
OG0011508	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011509	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011510	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011511	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011512	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011513	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011514	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011515	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011516	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011517	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011518	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011519	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011520	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011521	2	1	1	1	0	1	1	0	1	1	1	1	1
OG0011522	2	1	1	1	1	0	1	1	0	1	1	1	1
OG0011523	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011524	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011525	2	1	1	1	1	1	1	1	0	1	0	1	1
OG0011526	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011527	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011528	2	1	0	1	1	0	1	1	1	1	1	1	1
OG0011529	2	1	1	1	1	0	1	1	0	1	1	1	1
OG0011530	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011531	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011532	1	1	1	0	1	1	1	1	1	1	1	1	1
OG0011533	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011534	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011535	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011536	2	1	0	1	1	0	1	1	1	1	1	1	1
OG0011537	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011538	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011539	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011540	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011541	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011542	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011543	2	1	1	1	1	1	1	0	1	1	1	0	1
OG0011544	2	2	0	0	0	1	6	0	1	0	0	0	0
OG0011545	2	1	1	1	1	0	1	1	1	1	0	1	1
OG0011546	1	1	1	0	1	1	1	1	1	1	1	1	1
OG0011547	1	1	1	1	1	1	1	2	0	1	0	1	1
OG0011548	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011549	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011550	3	0	0	1	0	1	1	1	1	1	1	1	1
OG0011551	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011552	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011553	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011554	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011555	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011556	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011557	1	0	2	0	1	2	0	1	1	0	1	2	1
OG0011558	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011559	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011560	2	1	1	1	1	0	1	1	1	1	1	0	1
OG0011561	1	1	1	1	1	1	0	1	1	1	1	1	1
OG0011562	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011563	2	1	2	0	1	0	1	0	1	1	1	1	1
OG0011564	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011565	2	1	1	1	0	1	1	1	1	1	1	0	1
OG0011566	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011567	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011568	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011569	1	1	1	0	1	1	1	1	1	1	1	1	1
OG0011570	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011571	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011572	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011573	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011574	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011575	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011576	1	2	1	0	0	1	1	1	1	1	1	1	1
OG0011577	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011578	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011579	3	0	1	1	1	1	0	1	1	1	0	1	1
OG0011580	1	1	1	0	1	1	1	1	1	1	1	1	1
OG0011581	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011582	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011583	2	1	1	1	1	1	0	1	1	1	1	0	1
OG0011584	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011585	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011586	3	0	1	0	0	1	0	1	2	1	1	1	1
OG0011587	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011588	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011589	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011590	1	1	1	0	1	1	1	1	1	1	1	1	1
OG0011591	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011592	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011593	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011594	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011595	2	1	1	0	1	1	1	1	1	1	1	0	1
OG0011596	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011597	1	1	1	1	0	1	1	1	1	1	2	0	1
OG0011598	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011599	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011600	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011601	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011602	2	1	1	1	0	1	1	1	1	1	1	0	1
OG0011603	1	1	1	0	1	1	1	1	1	1	1	1	1
OG0011604	1	1	1	1	1	0	1	0	1	1	2	1	1
OG0011605	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011606	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011607	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011608	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011609	1	1	1	1	1	1	1	1	1	0	1	1	1
OG0011610	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011611	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011612	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011613	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011614	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011615	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011616	1	1	1	1	1	0	1	0	1	2	1	1	1
OG0011617	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011618	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011619	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011620	2	1	1	1	0	1	1	1	1	0	1	1	1
OG0011621	2	0	1	1	1	1	1	1	1	1	1	0	1
OG0011622	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011623	2	0	1	0	1	1	1	1	1	1	1	1	1
OG0011624	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011625	1	1	1	0	1	1	1	1	1	1	1	1	1
OG0011626	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011627	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011628	2	1	1	1	1	0	0	1	1	1	1	1	1
OG0011629	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011630	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011631	2	1	1	1	1	1	1	0	1	1	0	1	1
OG0011632	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011633	1	1	1	0	0	0	4	0	2	1	2	0	0
OG0011634	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011635	2	2	0	0	0	0	1	0	3	2	2	0	0
OG0011636	1	0	1	1	1	1	1	1	1	1	1	1	1
OG0011637	1	1	1	1	0	2	2	2	0	1	0	0	1
OG0011638	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011639	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011640	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011641	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011642	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011643	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011644	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011645	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011646	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011647	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011648	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011649	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011650	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011651	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011652	1	0	0	0	0	2	0	4	5	0	0	0	0
OG0011653	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011654	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011655	1	1	1	0	1	1	1	1	1	1	1	1	1
OG0011656	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011657	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011658	1	3	0	0	0	0	2	0	3	1	2	0	0
OG0011659	2	1	1	1	1	0	1	1	1	1	1	0	1
OG0011660	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011661	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011662	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011663	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011664	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011665	2	1	1	2	1	1	1	1	0	1	0	0	1
OG0011666	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011667	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011668	2	1	1	1	0	1	1	0	1	1	1	1	1
OG0011669	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011670	1	1	1	1	1	1	1	1	1	0	1	1	1
OG0011671	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011672	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011673	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011674	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011675	1	1	1	1	1	1	1	2	1	1	0	0	1
OG0011676	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011677	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011678	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011679	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011680	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011681	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011682	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011683	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011684	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011685	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011686	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011687	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011688	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011689	2	1	1	1	0	1	1	1	1	0	1	1	1
OG0011690	2	1	1	1	0	1	1	1	0	1	1	1	1
OG0011691	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011692	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011693	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011694	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011695	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011696	1	1	1	1	1	0	1	1	1	0	1	2	1
OG0011697	1	1	1	1	0	1	2	1	1	1	1	1	0
OG0011698	2	0	5	0	0	0	0	0	0	0	0	1	4
OG0011699	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011700	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011701	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011702	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011703	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011704	2	1	1	1	1	1	1	0	1	1	1	0	1
OG0011705	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011706	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011707	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011708	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011709	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011710	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011711	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011712	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011713	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011714	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011715	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011716	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011717	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011718	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011719	2	1	0	1	1	1	1	1	1	1	0	1	1
OG0011720	2	1	1	0	0	1	1	1	2	1	0	1	1
OG0011721	1	1	1	2	1	0	1	0	1	1	1	1	1
OG0011722	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011723	1	1	1	1	0	1	1	0	2	1	1	1	1
OG0011724	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011725	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011726	2	1	0	0	0	0	3	1	4	1	0	0	0
OG0011727	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011728	2	1	1	0	0	0	1	0	1	5	1	0	0
OG0011729	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011730	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011731	3	0	5	0	0	0	0	0	4	0	0	0	0
OG0011732	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011733	2	1	1	1	1	1	1	1	0	1	1	1	0
OG0011734	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011735	1	1	1	1	1	1	1	1	1	0	1	1	1
OG0011736	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011737	2	1	1	1	1	0	1	1	1	1	0	1	1
OG0011738	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011739	2	0	1	1	1	1	1	1	0	1	1	1	1
OG0011740	1	0	1	1	0	3	0	5	0	0	0	0	1
OG0011741	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011742	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011743	1	1	2	1	1	1	1	1	0	0	1	1	1
OG0011744	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011745	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011746	1	1	1	1	1	1	0	1	1	1	1	1	1
OG0011747	2	1	1	1	0	1	1	1	1	1	1	0	1
OG0011748	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011749	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011750	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011751	2	1	1	1	1	1	0	1	1	1	0	1	1
OG0011752	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011753	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011754	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011755	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011756	2	1	1	1	1	1	1	1	0	1	1	0	1
OG0011757	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011758	2	1	1	1	0	1	1	0	1	1	1	1	1
OG0011759	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011760	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011761	2	1	1	1	1	0	1	1	1	1	0	1	1
OG0011762	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011763	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011764	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011765	1	1	1	1	0	1	1	1	1	1	2	0	1
OG0011766	3	0	3	0	0	1	0	2	0	0	0	1	2
OG0011767	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011768	1	1	1	1	2	1	1	1	1	1	0	0	1
OG0011769	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011770	1	1	2	0	0	1	2	1	1	1	1	0	1
OG0011771	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011772	1	0	1	0	1	1	2	1	1	1	1	1	1
OG0011773	2	1	1	1	1	0	1	1	1	1	1	0	1
OG0011774	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011775	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011776	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011777	2	1	1	1	1	1	1	1	1	0	1	1	0
OG0011778	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011779	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011780	2	1	1	1	1	1	1	1	1	1	0	1	0
OG0011781	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011782	1	1	2	1	1	0	1	0	1	1	1	1	1
OG0011783	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011784	1	1	0	1	1	2	1	1	1	1	1	0	1
OG0011785	1	1	0	1	1	1	1	1	2	1	1	0	1
OG0011786	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011787	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011788	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011789	1	1	1	1	1	1	1	1	1	0	1	1	1
OG0011790	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011791	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011792	1	0	2	0	0	2	0	5	0	1	1	0	0
OG0011793	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011794	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011795	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011796	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011797	1	1	1	2	1	1	1	1	1	1	1	0	0
OG0011798	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011799	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011800	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011801	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011802	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011803	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011804	1	1	1	1	1	1	1	1	1	0	1	1	1
OG0011805	2	1	1	1	1	1	1	1	0	1	1	0	1
OG0011806	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011807	1	1	1	1	1	1	1	1	1	0	1	1	1
OG0011808	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011809	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011810	1	1	1	0	1	1	1	1	1	1	1	1	1
OG0011811	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011812	1	1	1	2	1	0	1	0	1	1	1	1	1
OG0011813	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011814	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011815	2	1	1	1	1	0	1	1	0	1	1	1	1
OG0011816	1	1	1	1	0	1	0	1	1	1	2	2	0
OG0011817	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011818	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011819	3	0	1	0	0	3	0	5	0	0	0	0	0
OG0011820	2	1	1	0	0	1	1	1	1	1	1	1	1
OG0011821	2	1	1	1	1	0	1	1	1	1	1	0	1
OG0011822	1	1	2	1	0	1	1	1	1	0	1	1	1
OG0011823	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011824	1	1	1	1	0	2	1	1	1	1	1	1	0
OG0011825	1	1	1	1	1	1	0	1	1	1	1	1	1
OG0011826	1	1	2	0	0	1	1	1	1	1	1	1	1
OG0011827	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011828	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011829	1	0	1	1	1	1	1	1	1	1	1	1	1
OG0011830	1	1	1	1	1	1	1	0	2	1	1	1	0
OG0011831	1	1	0	1	0	1	2	1	1	1	1	1	1
OG0011832	2	1	1	1	0	0	1	1	1	1	1	1	1
OG0011833	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011834	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011835	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011836	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011837	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011838	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011839	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011840	2	1	1	1	1	0	1	0	2	0	1	1	1
OG0011841	1	2	1	0	1	1	1	1	1	1	1	0	1
OG0011842	2	1	0	1	0	1	1	1	1	1	1	1	1
OG0011843	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011844	1	1	1	0	1	1	1	1	1	1	1	1	1
OG0011845	1	1	1	1	1	0	1	0	1	2	1	1	1
OG0011846	2	1	1	0	0	1	1	1	1	1	1	1	1
OG0011847	2	1	1	1	1	1	1	1	1	0	1	0	1
OG0011848	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011849	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011850	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011851	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011852	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011853	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0011854	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011855	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011856	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011857	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011858	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011859	1	1	1	1	1	1	1	1	1	0	1	1	1
OG0011860	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011861	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011862	1	1	1	1	1	1	2	1	1	1	0	1	0
OG0011863	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011864	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011865	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011866	1	1	0	2	1	1	1	1	1	1	1	1	0
OG0011867	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011868	2	1	0	1	1	0	1	1	2	1	0	1	1
OG0011869	1	1	1	1	1	1	0	1	1	1	1	1	1
OG0011870	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011871	2	1	1	1	1	0	1	0	1	1	1	1	1
OG0011872	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011873	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011874	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011875	2	1	1	0	0	1	1	1	1	1	1	1	1
OG0011876	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011877	2	1	1	2	0	0	1	1	1	1	1	1	0
OG0011878	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011879	1	1	1	1	1	1	1	1	1	0	1	1	1
OG0011880	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0011881	1	1	1	1	1	0	1	1	1	1	1	1	1
OG0011882	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011883	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011884	1	1	1	1	1	1	0	1	1	1	1	1	1
OG0011885	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011886	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011887	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011888	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011889	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011890	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011891	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011892	1	0	6	0	0	2	0	1	2	0	0	0	0
OG0011893	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011894	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011895	1	1	1	1	0	1	2	1	1	1	1	0	1
OG0011896	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011897	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011898	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011899	1	2	1	0	0	1	1	0	2	1	1	1	1
OG0011900	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0011901	1	1	1	1	1	1	1	1	0	1	1	1	1
OG0011902	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011903	2	1	1	0	0	1	1	1	1	1	1	1	1
OG0011904	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011905	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0011906	1	1	1	1	1	1	1	0	1	1	1	1	1
OG0011907	1	1	1	1	1	1	1	1	1	1	1	0	1
OG0011908	1	1	1	1	0	1	1	1	1	1	1	1	1
